"GEOGRAPHY_NAME","OBS_VALUE"
"Garstang",0
"Great Eccleston",5
"Hambleton and Stalmine-with-Staynall",5
"Hardhorn",5
"High Cross",10
"Jubilee",10
"Mount",20
"Norcross",10
"Park",20
"Pharos",60
"Pilling",0
"Preesall",15
"Rossall",30
"Staina",5
"Tithebarn",10
"Victoria",5
"Warren",20
"Wyresdale",0
"Cherryfield",40
"Halewood North",15
"Halewood South",35
"Halewood West",40
"Kirkby Central",50
"Longview",100
"Northwood",80
"Page Moss",70
"Park",55
"Prescot East",50
"Prescot West",20
"Roby",10
"Shevington",30
"St Bartholomews",30
"St Gabriels",50
"St Michaels",55
"Stockbridge",50
"Swanside",15
"Whiston North",25
"Whiston South",40
"Whitefield",35
"Allerton and Hunts Cross",35
"Anfield",115
"Belle Vale",90
"Central",35
"Childwall",25
"Church",20
"Clubmoor",95
"County",145
"Cressington",35
"Croxteth",65
"Everton",170
"Fazakerley",100
"Greenbank",60
"Kensington and Fairfield",175
"Kirkdale",135
"Knotty Ash",70
"Mossley Hill",20
"Norris Green",90
"Old Swan",90
"Picton",165
"Princes Park",200
"Riverside",105
"Speke-Garston",165
"St Michael's",40
"Tuebrook and Stoneycroft",140
"Warbreck",90
"Wavertree",50
"West Derby",30
"Woolton",25
"Yew Tree",85
"Ainsdale",35
"Birkdale",25
"Blundellsands",20
"Cambridge",30
"Church",75
"Derby",115
"Duke's",50
"Ford",90
"Harington",5
"Kew",50
"Linacre",185
"Litherland",85
"Manor",45
"Meols",25
"Molyneux",30
"Netherton and Orrell",70
"Norwood",60
"Park",15
"Ravenmeols",20
"St Oswald",75
"Sudell",25
"Victoria",35
"Billinge and Seneley Green",25
"Blackbrook",40
"Bold",50
"Earlestown",60
"Eccleston",25
"Haydock",40
"Moss Bank",50
"Newton",50
"Parr",115
"Rainford",15
"Rainhill",25
"Sutton",55
"Thatto Heath",85
"Town Centre",120
"West Park",55
"Windle",50
"Bebington",40
"Bidston and St James",125
"Birkenhead and Tranmere",275
"Bromborough",65
"Clatterbridge",20
"Claughton",70
"Eastham",35
"Greasby, Frankby and Irby",25
"Heswall",10
"Hoylake and Meols",20
"Leasowe and Moreton East",100
"Liscard",105
"Moreton West and Saughall Massie",50
"New Brighton",65
"Oxton",50
"Pensby and Thingwall",25
"Prenton",55
"Rock Ferry",120
"Seacombe",185
"Upton",60
"Wallasey",30
"West Kirby and Thurstaston",20
"Beverley Rural",20
"Bridlington Central and Old Town",45
"Bridlington North",25
"Bridlington South",125
"Cottingham North",10
"Cottingham South",20
"Dale",20
"Driffield and Rural",40
"East Wolds and Coastal",15
"Goole North",40
"Goole South",75
"Hessle",45
"Howden",15
"Howdenshire",15
"Mid Holderness",25
"Minster and Woodmansey",50
"North Holderness",30
"Pocklington Provincial",15
"Snaith, Airmyn, Rawcliffe and Marshland",25
"South East Holderness",65
"South Hunsley",15
"South West Holderness",30
"St Mary's",25
"Tranby",35
"Willerby and Kirk Ella",20
"Wolds Weighton",15
"Avenue",75
"Beverley",15
"Boothferry",35
"Bransholme East",105
"Bransholme West",95
"Bricknell",30
"Derringham",40
"Drypool",80
"Holderness",40
"Ings",45
"Kings Park",30
"Longhill",100
"Marfleet",130
"Myton",185
"Newington",90
"Newland",90
"Orchard Park and Greenwood",155
"Pickering",80
"Southcoates East",70
"Southcoates West",45
"St Andrew's",95
"Sutton",60
"University",60
"Croft Baker",65
"East Marsh",165
"Freshney",40
"Haverstoe",20
"Heneage",100
"Humberston and New Waltham",15
"Immingham",55
"Park",50
"Scartho",30
"Sidney Sussex",100
"South",130
"Waltham",5
"West Marsh",90
"Wolds",10
"Yarborough",50
"Ashby",70
"Axholme Central",20
"Axholme North",25
"Axholme South",20
"Barton",55
"Bottesford",20
"Brigg and Wolds",30
"Broughton and Appleby",20
"Brumby",110
"Burringham and Gunness",10
"Burton upon Stather and Winterton",50
"Crosby and Park",85
"Ferry",20
"Frodingham",75
"Kingsway with Lincoln Gardens",60
"Ridge",25
"Town",65
"Acomb",15
"Bishopthorpe",5
"Clifton",30
"Derwent",5
"Dringhouses and Woodthorpe",20
"Fishergate",10
"Fulford",0
"Guildhall",25
"Haxby and Wigginton",5
"Heslington",0
"Heworth",40
"Heworth Without",5
"Holgate",35
"Hull Road",20
"Huntington and New Earswick",15
"Micklegate",15
"Osbaldwick",0
"Rural West York",10
"Skelton, Rawcliffe and Clifton Without",20
"Strensall",0
"Westfield",45
"Wheldrake",5
"Aire Valley with Lothersdale",0
"Barden Fell",0
"Bentham",5
"Cowling",0
"Embsay-with-Eastby",0
"Gargrave and Malhamdale",0
"Glusburn",5
"Grassington",0
