"GEOGRAPHY_NAME","GEOGRAPHY_CODE","AGE_NAME","OBS_VALUE"
"Amble West with Warkworth","E36001128","Aged 16-24",5
"Amble West with Warkworth","E36001128","Aged 25-29",5
"Ashington Central","E36001129","Aged 16-24",50
"Ashington Central","E36001129","Aged 25-29",35
"Bamburgh","E36001130","Aged 16-24",5
"Bamburgh","E36001130","Aged 25-29",0
"Bedlington Central","E36001131","Aged 16-24",15
"Bedlington Central","E36001131","Aged 25-29",10
"Bedlington East","E36001132","Aged 16-24",40
"Bedlington East","E36001132","Aged 25-29",25
"Bedlington West","E36001133","Aged 16-24",25
"Bedlington West","E36001133","Aged 25-29",10
"Bellingham","E36001134","Aged 16-24",5
"Bellingham","E36001134","Aged 25-29",5
"Berwick East","E36001135","Aged 16-24",15
"Berwick East","E36001135","Aged 25-29",10
"Berwick North","E36001136","Aged 16-24",15
"Berwick North","E36001136","Aged 25-29",10
"Berwick West with Ord","E36001137","Aged 16-24",10
"Berwick West with Ord","E36001137","Aged 25-29",10
"Bothal","E36001138","Aged 16-24",15
"Bothal","E36001138","Aged 25-29",10
"Bywell","E36001139","Aged 16-24",0
"Bywell","E36001139","Aged 25-29",0
"Chevington with Longhorseley","E36001140","Aged 16-24",35
"Chevington with Longhorseley","E36001140","Aged 25-29",10
"Choppington","E36001141","Aged 16-24",30
"Choppington","E36001141","Aged 25-29",15
"College","E36001142","Aged 16-24",65
"College","E36001142","Aged 25-29",40
"Corbridge","E36001143","Aged 16-24",5
"Corbridge","E36001143","Aged 25-29",0
"Cowpen","E36001144","Aged 16-24",50
"Cowpen","E36001144","Aged 25-29",25
"Cramlington East","E36001145","Aged 16-24",35
"Cramlington East","E36001145","Aged 25-29",15
"Cramlington Eastfield","E36001146","Aged 16-24",25
"Cramlington Eastfield","E36001146","Aged 25-29",10
"Cramlington North","E36001147","Aged 16-24",10
"Cramlington North","E36001147","Aged 25-29",5
"Cramlington South East","E36001148","Aged 16-24",15
"Cramlington South East","E36001148","Aged 25-29",5
"Cramlington Village","E36001149","Aged 16-24",15
"Cramlington Village","E36001149","Aged 25-29",10
"Cramlington West","E36001150","Aged 16-24",40
"Cramlington West","E36001150","Aged 25-29",10
"Croft","E36001151","Aged 16-24",65
"Croft","E36001151","Aged 25-29",40
"Haltwhistle","E36001152","Aged 16-24",10
"Haltwhistle","E36001152","Aged 25-29",10
"Hartley","E36001153","Aged 16-24",15
"Hartley","E36001153","Aged 25-29",10
"Haydon","E36001154","Aged 16-24",15
"Haydon","E36001154","Aged 25-29",5
"Haydon and Hadrian","E36001155","Aged 16-24",5
"Haydon and Hadrian","E36001155","Aged 25-29",5
"Hexham Central with Acomb","E36001156","Aged 16-24",5
"Hexham Central with Acomb","E36001156","Aged 25-29",10
"Hexham East","E36001157","Aged 16-24",10
"Hexham East","E36001157","Aged 25-29",5
"Hexham West","E36001158","Aged 16-24",0
"Hexham West","E36001158","Aged 25-29",5
"Hirst","E36001159","Aged 16-24",85
"Hirst","E36001159","Aged 25-29",55
"Holywell","E36001160","Aged 16-24",20
"Holywell","E36001160","Aged 25-29",20
"Humshaugh","E36001161","Aged 16-24",5
"Humshaugh","E36001161","Aged 25-29",5
"Isabella","E36001162","Aged 16-24",65
"Isabella","E36001162","Aged 25-29",40
"Kitty Brewster","E36001163","Aged 16-24",65
"Kitty Brewster","E36001163","Aged 25-29",25
"Lesbury","E36001164","Aged 16-24",5
"Lesbury","E36001164","Aged 25-29",5
"Longhoughton","E36001165","Aged 16-24",5
"Longhoughton","E36001165","Aged 25-29",0
"Lynemouth","E36001166","Aged 16-24",25
"Lynemouth","E36001166","Aged 25-29",15
"Morpeth Kirkhill","E36001167","Aged 16-24",15
"Morpeth Kirkhill","E36001167","Aged 25-29",5
"Morpeth North","E36001168","Aged 16-24",10
"Morpeth North","E36001168","Aged 25-29",5
"Morpeth Stobhill","E36001169","Aged 16-24",15
"Morpeth Stobhill","E36001169","Aged 25-29",10
"Newbiggin Central and East","E36001170","Aged 16-24",30
"Newbiggin Central and East","E36001170","Aged 25-29",15
"Newsham","E36001171","Aged 16-24",60
"Newsham","E36001171","Aged 25-29",30
"Norham and Islandshires","E36001172","Aged 16-24",5
"Norham and Islandshires","E36001172","Aged 25-29",5
"Pegswood","E36001173","Aged 16-24",15
"Pegswood","E36001173","Aged 25-29",5
"Plessey","E36001174","Aged 16-24",10
"Plessey","E36001174","Aged 25-29",0
"Ponteland East","E36001175","Aged 16-24",5
"Ponteland East","E36001175","Aged 25-29",5
"Ponteland North","E36001176","Aged 16-24",5
"Ponteland North","E36001176","Aged 25-29",0
"Ponteland South with Heddon","E36001177","Aged 16-24",5
"Ponteland South with Heddon","E36001177","Aged 25-29",5
"Ponteland West","E36001178","Aged 16-24",0
"Ponteland West","E36001178","Aged 25-29",0
"Prudhoe East","E36001179","Aged 16-24",20
"Prudhoe East","E36001179","Aged 25-29",15
"Prudhoe West","E36001180","Aged 16-24",15
"Prudhoe West","E36001180","Aged 25-29",5
"Rothbury","E36001181","Aged 16-24",5
"Rothbury","E36001181","Aged 25-29",5
"Seaton with Newbiggin West","E36001182","Aged 16-24",35
"Seaton with Newbiggin West","E36001182","Aged 25-29",10
"Seghill with Seaton Delaval","E36001183","Aged 16-24",50
"Seghill with Seaton Delaval","E36001183","Aged 25-29",25
"Shilbottle","E36001184","Aged 16-24",15
"Shilbottle","E36001184","Aged 25-29",5
"Sleekburn","E36001185","Aged 16-24",35
"Sleekburn","E36001185","Aged 25-29",10
"South Blyth","E36001186","Aged 16-24",10
"South Blyth","E36001186","Aged 25-29",5
