"DATE","DATE_NAME","DATE_CODE","DATE_TYPE","DATE_TYPECODE","DATE_SORTORDER","GEOGRAPHY","GEOGRAPHY_NAME","GEOGRAPHY_CODE","GEOGRAPHY_TYPE","GEOGRAPHY_TYPECODE","GEOGRAPHY_SORTORDER","GENDER","GENDER_NAME","GENDER_CODE","GENDER_TYPE","GENDER_TYPECODE","GENDER_SORTORDER","AGE","AGE_NAME","AGE_CODE","AGE_TYPE","AGE_TYPECODE","AGE_SORTORDER","MEASURE","MEASURE_NAME","MEASURE_CODE","MEASURE_TYPE","MEASURE_TYPECODE","MEASURE_SORTORDER","MEASURES","MEASURES_NAME","OBS_VALUE","OBS_STATUS","OBS_STATUS_NAME","OBS_CONF","OBS_CONF_NAME","URN","RECORD_OFFSET","RECORD_COUNT"
"2019-09","September 2019","2019-09","date",0,0,"989856824","Coundon","E36001080","2011 census frozen wards",236,41,"0","Total","0","Sex",1000,0,"2","Aged 16-24","2","Ageband",2000,0,"1","Claimant count","1","measures",1000,0,"20100","Value",75,"A","Normal Value","F","Free (free for publication)","Nm-162d1d32313e0d989856824d0d0d2d1d20100",41,9481
"2019-09","September 2019","2019-09","date",0,0,"989856825","Coxhoe","E36001081","2011 census frozen wards",236,42,"0","Total","0","Sex",1000,0,"2","Aged 16-24","2","Ageband",2000,0,"1","Claimant count","1","measures",1000,0,"20100","Value",30,"A","Normal Value","F","Free (free for publication)","Nm-162d1d32313e0d989856825d0d0d2d1d20100",42,9481
"2019-09","September 2019","2019-09","date",0,0,"989856826","Craghead and South Moor","E36001082","2011 census frozen wards",236,43,"0","Total","0","Sex",1000,0,"2","Aged 16-24","2","Ageband",2000,0,"1","Claimant count","1","measures",1000,0,"20100","Value",70,"A","Normal Value","F","Free (free for publication)","Nm-162d1d32313e0d989856826d0d0d2d1d20100",43,9481
"2019-09","September 2019","2019-09","date",0,0,"989856827","Crook North and Tow Law","E36001083","2011 census frozen wards",236,44,"0","Total","0","Sex",1000,0,"2","Aged 16-24","2","Ageband",2000,0,"1","Claimant count","1","measures",1000,0,"20100","Value",50,"A","Normal Value","F","Free (free for publication)","Nm-162d1d32313e0d989856827d0d0d2d1d20100",44,9481
"2019-09","September 2019","2019-09","date",0,0,"989856828","Crook South","E36001084","2011 census frozen wards",236,45,"0","Total","0","Sex",1000,0,"2","Aged 16-24","2","Ageband",2000,0,"1","Claimant count","1","measures",1000,0,"20100","Value",80,"A","Normal Value","F","Free (free for publication)","Nm-162d1d32313e0d989856828d0d0d2d1d20100",45,9481
"2019-09","September 2019","2019-09","date",0,0,"989856829","Dawdon","E36001085","2011 census frozen wards",236,46,"0","Total","0","Sex",1000,0,"2","Aged 16-24","2","Ageband",2000,0,"1","Claimant count","1","measures",1000,0,"20100","Value",80,"A","Normal Value","F","Free (free for publication)","Nm-162d1d32313e0d989856829d0d0d2d1d20100",46,9481
"2019-09","September 2019","2019-09","date",0,0,"989856830","Deerness Valley","E36001086","2011 census frozen wards",236,47,"0","Total","0","Sex",1000,0,"2","Aged 16-24","2","Ageband",2000,0,"1","Claimant count","1","measures",1000,0,"20100","Value",45,"A","Normal Value","F","Free (free for publication)","Nm-162d1d32313e0d989856830d0d0d2d1d20100",47,9481
"2019-09","September 2019","2019-09","date",0,0,"989856831","Delves Lane and Consett South","E36001087","2011 census frozen wards",236,48,"0","Total","0","Sex",1000,0,"2","Aged 16-24","2","Ageband",2000,0,"1","Claimant count","1","measures",1000,0,"20100","Value",75,"A","Normal Value","F","Free (free for publication)","Nm-162d1d32313e0d989856831d0d0d2d1d20100",48,9481
"2019-09","September 2019","2019-09","date",0,0,"989856832","Deneside","E36001088","2011 census frozen wards",236,49,"0","Total","0","Sex",1000,0,"2","Aged 16-24","2","Ageband",2000,0,"1","Claimant count","1","measures",1000,0,"20100","Value",60,"A","Normal Value","F","Free (free for publication)","Nm-162d1d32313e0d989856832d0d0d2d1d20100",49,9481
"2019-09","September 2019","2019-09","date",0,0,"989856833","Durham South","E36001089","2011 census frozen wards",236,50,"0","Total","0","Sex",1000,0,"2","Aged 16-24","2","Ageband",2000,0,"1","Claimant count","1","measures",1000,0,"20100","Value",25,"A","Normal Value","F","Free (free for publication)","Nm-162d1d32313e0d989856833d0d0d2d1d20100",50,9481
