GEOGRAPHY_NAME,GEOGRAPHY_CODE,25-29
Paulton,E05001959,35
Peasedown,E05001960,15
Publow and Whitchurch,E05001961,30
Radstock,E05001962,35
Saltford,E05001963,15
Southdown,E05001964,5
Timsbury,E05001965,75
Twerton,E05001966,20
Walcot,E05001967,10
Westfield,E05001968,5
Westmoreland,E05001969,60
Weston,E05001970,5
Widcombe,E05001971,5
Ashley,E05001972,10
Avonmouth,E05001973,0
Bedminster,E05001974,50
Bishopston,E05001975,15
Bishopsworth,E05001976,10
Brislington East,E05001977,40
Brislington West,E05001978,5
Cabot,E05001979,60
Clifton,E05001980,25
Clifton East,E05001981,5
Cotham,E05001982,5
Easton,E05001983,0
Eastville,E05001984,10
Filwood,E05001985,15
Frome Vale,E05001986,10
Hartcliffe,E05001987,10
Henbury,E05001988,0
Hengrove,E05001989,5
Henleaze,E05001990,10
Hillfields,E05001991,10
Horfield,E05001992,0
Kingsweston,E05001993,0
Knowle,E05001994,0
Lawrence Hill,E05001995,5
Lockleaze,E05001996,10
Redland,E05001997,15
Southmead,E05002000,5
Southville,E05002001,5
St George East,E05001998,0
St George West,E05001999,0
Stockwood,E05002002,0
Stoke Bishop,E05002003,25
Westbury-on-Trym,E05002004,25
Whitchurch Park,E05002005,5
Windmill Hill,E05002006,0
Backwell,E05008601,5
Banwell and Winscombe,E05008602,0
Blagdon and Churchill,E05002009,10
Clevedon Central,E05002010,35
Clevedon East,E05002011,0
Clevedon North,E05002012,0
Clevedon South,E05002013,0
Clevedon Walton,E05002014,0
Clevedon West,E05002015,0
Clevedon Yeo,E05002016,10
Congresbury,E05002017,15
Easton-in-Gordano,E05002018,30
Gordano,E05002019,5
Hutton and Locking,E05008603,10
Kewstoke,E05008604,0
Nailsea East,E05002022,30
Nailsea North and West,E05002023,5
Pill,E05002024,25
Portishead Central,E05002025,10
Portishead Coast,E05002026,20
Portishead East,E05002027,0
Portishead Redcliffe Bay,E05002028,5
Portishead South and North Weston,E05002029,10
Portishead West,E05002030,5
Weston-super-Mare Central,E05002031,15
Weston-super-Mare Clarence and Uphill,E05008605,25
Weston-super-Mare East,E05008606,5
Weston-super-Mare Milton and Old Worle,E05002034,0
Weston-super-Mare North Worle,E05008607,30
Weston-super-Mare South,E05002036,25
Weston-super-Mare South Worle,E05002037,5
Weston-super-Mare West,E05002038,25
Winford,E05008608,0
Wraxall and Long Ashton,E05002040,15
Wrington,E05008609,0
Yatton,E05002042,0
Almondsbury,E05002043,5
Bitton,E05002044,0
Boyd Valley,E05002045,20
Bradley Stoke Central and Stoke Lodge,E05002046,25
Bradley Stoke North,E05002047,5
Bradley Stoke South,E05002048,5
Charfield,E05002049,20
Chipping Sodbury,E05002050,0
Cotswold Edge,E05002051,5
Dodington,E05002052,0
Downend,E05002053,5
Emersons Green,E05002054,0
Filton,E05002055,5
Frampton Cotterell,E05002056,10
Frenchay and Stoke Park,E05002057,10
Hanham,E05002058,10
Kings Chase,E05002059,10
Ladden Brook,E05002060,10
Longwell Green,E05002061,0
Oldland Common,E05002062,5
Parkwall,E05002063,0
Patchway,E05002064,15
Pilning and Severn Beach,E05002065,0
Rodway,E05002066,10
Severn,E05002067,0
Siston,E05002068,5
Staple Hill,E05002069,5
Stoke Gifford,E05002070,0
Thornbury North,E05002071,10
Thornbury South and Alveston,E05002072,0
Westerleigh,E05002073,10
Winterbourne,E05002074,15
Woodstock,E05002075,0
Yate Central,E05002076,0
Yate North,E05002077,5
Budshead,E05002078,5
Compton,E05002079,0
Devonport,E05002080,0
Drake,E05002081,0
Efford and Lipson,E05002082,0
