GEOGRAPHY_NAME,OBS_VALUE
Balderstone and Kirkholt,85
Bamford,120
Castleton,115
Central Rochdale,65
East Middleton,45
Healey,95
Hopwood Hall,135
Littleborough Lakeside,45
Milkstone and Deeplish,65
Milnrow and Newhey,75
Norden,155
North Heywood,40
North Middleton,45
Smallbridge and Firgrove,50
South Middleton,105
Spotland and Falinge,105
Wardle and West Littleborough,35
West Heywood,35
West Middleton,5
Barton,15
Boothstown and Ellenbrook,30
Cadishead,55
Eccles,85
Irlam,155
Irwell Riverside,100
Kersal,140
Langworthy,70
Little Hulton,45
Ordsall,60
Pendlebury,110
Swinton North,45
Swinton South,45
Walkden North,70
Walkden South,90
Weaste and Seedley,30
Winton,115
Worsley,30
Bramhall North,20
Bramhall South,70
Bredbury and Woodley,60
Bredbury Green and Romiley,75
Brinnington and Central,30
Cheadle and Gatley,75
Cheadle Hulme North,35
Cheadle Hulme South,60
Davenport and Cale Green,95
Edgeley and Cheadle Heath,80
Hazel Grove,20
Heald Green,135
Heatons North,45
Heatons South,30
Manor,40
Marple North,35
Marple South,95
Offerton,50
Reddish North,130
Reddish South,145
Stepping Hill,65
Ashton Hurst,55
Ashton St Michael's,55
Ashton Waterloo,40
Audenshaw,90
Denton North East,40
Denton South,80
Denton West,80
Droylsden East,10
Droylsden West,20
Dukinfield,5
Dukinfield Stalybridge,40
Hyde Godley,55
Hyde Newton,165
Hyde Werneth,20
Longdendale,25
Mossley,20
Stalybridge North,70
Stalybridge South,55
Altrincham,15
Ashton upon Mersey,20
Bowdon,20
Bucklow-St Martins,40
Clifford,45
Davyhulme East,15
Davyhulme West,15
Flixton,50
Gorse Hill,55
Hale Barns,40
Hale Central,25
Longford,85
Priory,85
Sale Moor,55
Stretford,45
Timperley,50
Urmston,45
Abram,40
Ashton,45
Aspull New Springs Whelley,40
Astley Mosley Common,85
Atherleigh,40
Atherton,75
Bryn,80
Douglas,45
Golborne and Lowton West,50
Hindley,50
Hindley Green,105
Ince,105
Leigh East,40
Leigh South,20
Leigh West,10
Lowton East,10
Orrell,30
Pemberton,10
Shevington with Lower Ground,75
Standish with Langtree,95
Wigan Central,30
Wigan West,25
Winstanley,15
Worsley Mesnes,60
Bank Hall,10
Briercliffe,0
Brunshaw,55
Cliviger with Worsthorne,15
Coal Clough with Deerplay,30
Daneshouse with Stoneyholme,40
Gannow,50
Gawthorpe,10
Hapton with Park,20
Lanehead,25
Queensgate,100
Rosegrove with Lowerhouse,25
Rosehill with Burnley Wood,25
Trinity,30
Whittlefield with Ightenhill,65
Adlington and Anderton,130
Astley and Buckshaw,50
Brindle and Hoghton,70
Chisnall,35
Chorley East,90
Chorley North East,35
Chorley North West,100
Chorley South East,70
Chorley South West,80
Clayton-le-Woods and Whittle-le-Woods,130
Clayton-le-Woods North,30
Clayton-le-Woods West and Cuerden,25
Coppull,100
Eccleston and Mawdesley,15
Euxton North,20
Euxton South,55
Heath Charnock and Rivington,70
Lostock,60
Pennine,15
Wheelton and Withnell,75
Ansdell,60
Elswick and Little Eccleston,10
Fairhaven,50
Freckleton East,5
Freckleton West,20
Heyhouses,55
Kilnhouse,50
Kirkham North,45
Kirkham South,20
Medlar-with-Wesham,25
Newton and Treales,35
Ribby-with-Wrea,50
Singleton and Greenhalgh,40
St Johns,85
St Leonards,20
Staining and Weeton,10
Warton and Westby,15
Altham,0
Barnfield,5
Baxenden,25
Clayton-le-Moors,25
Huncoat,10
Immanuel,30
Milnshaw,45
Netherton,10
Overton,35
Peel,5
Rishton,25
Spring Hill,10
St Andrew's,10
St Oswald's,0
Bare,5
Bolton-le-Sands,5
Bulk,0
Carnforth,5
Duke's,0
"Ellel,University",10
Halton-with-Aughton,20
Heysham Central,0
Heysham North,0
Heysham South,5
John O'Gaunt,5
Kellet,5
Lower Lune Valley,10
Poulton,15
Scotforth East,10
Scotforth West,5
Silverdale,5
Skerton East,0
Skerton West,10
Slyne-with-Hest,5
Torrisholme,0
Upper Lune Valley,15
