GEOGRAPHY_CODE,OBS_VALUE,,,,,,,,GEOGRAPHY_NAME
E05001674,30,,,,,Tullycarnet,95II21,10,Kings Park
E05001675,100,,,,,Upper Braniel,95II22,5,Longhill
E05001676,130,,,,,Wynchurch,95II23,0,Marfleet
E05001677,185,,,,,Agivey,95JJ01,5,Myton
E05001678,90,,,,,Atlantic,95JJ02,10,Newington
E05001679,90,,,,,Ballysally,95JJ03,25,Newland
E05001680,155,,,,,Castlerock,95JJ04,10,Orchard Park and Greenwood
E05001681,80,,,,,Central (Coleraine LGD),95JJ05,15,Pickering
E05001683,70,,,,,Churchland,95JJ06,20,Southcoates East
E05001684,45,,,,,Cross Glebe,95JJ07,15,Southcoates West
E05001682,95,,,,,Dundooan,95JJ08,5,St Andrew's
E05001685,60,,,,,Dunluce,95JJ09,5,Sutton
E05001686,60,,,,,Garvagh,95JJ10,10,University
E05001687,20,,,,,Hopefield,95JJ11,10,Beverley Rural
E05001688,45,,,,,Kilrea,95JJ12,10,Bridlington Central and Old Town
E05001689,25,,,,,Knocklynn,95JJ13,10,Bridlington North
E05001690,125,,,,,Macosquin,95JJ14,5,Bridlington South
E05001691,10,,,,,Mount Sandel,95JJ15,15,Cottingham North
E05001692,20,,,,,Portstewart,95JJ16,5,Cottingham South
E05001693,20,,,,,Ringsend,95JJ17,5,Dale
E05001694,40,,,,,Royal Portrush,95JJ18,5,Driffield and Rural
E05001695,15,,,,,Strand (Coleraine LGD),95JJ19,0,East Wolds and Coastal
E05001696,40,,,,,The Cuts,95JJ20,10,Goole North
E05001697,75,,,,,University,95JJ21,15,Goole South
E05001698,45,,,,,Waterside,95JJ22,5,Hessle
E05001699,15,,,,,Ardboe,95KK01,5,Howden
E05001700,15,,,,,Coagh,95KK02,0,Howdenshire
E05001701,25,,,,,Dunnamore,95KK03,5,Mid Holderness
E05001702,50,,,,,Gortalowry,95KK04,5,Minster and Woodmansey
E05001703,30,,,,,Killycolpy,95KK05,10,North Holderness
E05001704,15,,,,,Killymoon,95KK06,5,Pocklington Provincial
E05001706,25,,,,,Lissan,95KK07,5,"Snaith, Airmyn, Rawcliffe and Marshland"
E05001707,65,,,,,Moneymore,95KK08,10,South East Holderness
E05001708,15,,,,,Newbuildings,95KK09,5,South Hunsley
E05001709,30,,,,,Oaklands,95KK10,5,South West Holderness
E05001705,25,,,,,Oldtown,95KK11,10,St Mary's
E05001710,35,,,,,Pomeroy,95KK12,10,Tranby
E05001711,20,,,,,Sandholes,95KK13,5,Willerby and Kirk Ella
E05001712,15,,,,,Stewartstown,95KK14,5,Wolds Weighton
E05001713,65,,,,,The Loop,95KK15,5,Croft Baker
E05001714,165,,,,,Tullagh,95KK16,5,East Marsh
E05001715,40,,,,,Aghagallon,95LL01,10,Freshney
E05001716,20,,,,,Annagh,95LL02,15,Haverstoe
E05001717,100,,,,,Ballybay,95LL03,10,Heneage
E05001718,15,,,,,Ballyoran,95LL04,5,Humberston and New Waltham
E05001719,55,,,,,Bleary,95LL05,10,Immingham
E05001720,50,,,,,Brownstown,95LL06,10,Park
E05001721,30,,,,,Church,95LL07,15,Scartho
E05001722,100,,,,,Corcrain,95LL08,15,Sidney Sussex
E05001723,130,,,,,Court,95LL09,25,South
E05001724,5,,,,,Derrytrasna,95LL10,10,Waltham
E05001725,90,,,,,Donaghcloney,95LL11,10,West Marsh
E05001726,10,,,,,Drumgask,95LL12,25,Wolds
E05001727,50,,,,,Drumgor,95LL13,15,Yarborough
E05001728,70,,,,,Drumnamoe,95LL14,15,Ashby
E05001729,20,,,,,Edenderry (Craigavon LGD),95LL15,5,Axholme Central
E05001730,25,,,,,Kernan,95LL16,20,Axholme North
E05001731,20,,,,,Killycomain,95LL17,10,Axholme South
E05001732,55,,,,,Knocknashane,95LL18,10,Barton
E05001733,20,,,,,Magheralin,95LL19,10,Bottesford
E05001734,30,,,,,Mourneview,95LL20,15,Brigg and Wolds
E05001735,20,,,,,Parklake,95LL21,10,Broughton and Appleby
E05001736,110,,,,,Taghnevan,95LL22,15,Brumby
E05001737,10,,,,,Tavanagh,95LL23,10,Burringham and Gunness
E05001738,50,,,,,The Birches,95LL24,5,Burton upon Stather and Winterton
E05001739,85,,,,,Waringstown,95LL25,5,Crosby and Park
E05001740,20,,,,,Woodville,95LL26,20,Ferry
E05001741,75,,,,,Altnagelvin,95MM01,25,Frodingham
E05001742,60,,,,,Ballynashallog,95MM02,10,Kingsway with Lincoln Gardens
E05001743,25,,,,,Banagher,95MM03,10,Ridge
E05001744,65,,,,,Beechwood,95MM04,20,Town
E05001745,15,,,,,Brandywell,95MM05,20,Acomb
E05001746,5,,,,,Carn Hill,95MM06,20,Bishopthorpe
E05001747,30,,,,,Caw,95MM07,20,Clifton
E05001748,5,,,,,Clondermot,95MM08,10,Derwent
E05001749,20,,,,,Claudy,95MM09,15,Dringhouses and Woodthorpe
E05001750,10,,,,,Creggan Central,95MM10,35,Fishergate
E05001751,0,,,,,Creggan South,95MM11,25,Fulford
E05001752,25,,,,,Crevagh,95MM12,40,Guildhall
E05001753,5,,,,,Culmore,95MM13,60,Haxby and Wigginton
E05001754,0,,,,,Ebrington,95MM14,25,Heslington
E05001755,40,,,,,Eglinton,95MM15,20,Heworth
E05001756,5,,,,,Enagh (Derry LGD),95MM16,25,Heworth Without
E05001757,35,,,,,Foyle Springs,95MM17,15,Holgate
E05001758,20,,,,,Holly Mount,95MM18,10,Hull Road
E05001759,15,,,,,Kilfennan,95MM19,15,Huntington and New Earswick
E05001760,15,,,,,Lisnagelvin,95MM20,10,Micklegate
E05001761,0,,,,,New Buildings,95MM21,15,Osbaldwick
E05001762,10,,,,,Pennyburn,95MM22,5,Rural West York
E05001763,20,,,,,Rosemount,95MM23,20,"Skelton, Rawcliffe and Clifton Without"
E05001764,0,,,,,Shantallow East,95MM24,30,Strensall
E05001765,45,,,,,Shantallow West,95MM25,65,Westfield
E05001766,5,,,,,Springtown,95MM26,20,Wheldrake
E05001767,100,,,,,Strand (Derry LGD),95MM27,50,Abbey
E05001768,10,,,,,The Diamond,95MM28,35,Allestree
E05001769,100,,,,,Victoria (Derry LGD),95MM29,20,Alvaston
E05001770,160,,,,,Westland,95MM30,15,Arboretum
E05001771,35,,,,,Ardglass,95NN01,15,Blagreaves
E05001772,75,,,,,Audley's Acre,95NN02,10,Boulton
E05001773,55,,,,,Ballymaglave,95NN03,5,Chaddesden
E05001774,30,,,,,Ballymote,95NN04,15,Chellaston
E05001775,65,,,,,Ballynahinch East,95NN05,15,Darley
E05001776,95,,,,,Castlewellan,95NN06,10,Derwent
E05001777,15,,,,,Cathedral,95NN07,25,Littleover
E05001778,75,,,,,Crossgar,95NN08,10,Mackworth
E05001779,20,,,,,Derryboy,95NN09,5,Mickleover
E05001780,105,,,,,Donard,95NN10,10,Normanton
E05001781,35,,,,,Drumaness,95NN11,15,Oakwood
E05001782,105,,,,,Dundrum,95NN12,5,Sinfin
E05001783,30,,,,,Dunmore,95NN13,10,Spondon
E05001784,75,,,,,Killough,95NN14,10,Abbey
E05001785,45,,,,,Killyleagh,95NN15,20,Aylestone
E05001786,115,,,,,Kilmore,95NN16,10,Beaumont Leys
E05001787,35,,,,,Murlough,95NN17,15,Belgrave
E05001788,125,,,,,Quoile,95NN18,15,Braunstone Park and Rowley Fields
E05001789,110,,,,,Saintfield,95NN19,10,Castle
E05001790,50,,,,,Seaforde,95NN20,10,Charnwood
E05001791,60,,,,,Shimna,95NN21,5,Coleman
E05001792,35,,,,,Strangford,95NN22,15,Evington
E05001793,75,,,,,Tollymore,95NN23,10,Eyres Monsell
E05001794,55,,,,,Altmore,95OO01,5,Fosse
E05001795,75,,,,,Augher,95OO02,0,Freemen
E05001796,75,,,,,Aughnacloy,95OO03,5,Humberstone and Hamilton
